,Movie_name,Popularity,rating,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
29,Belle de jour (1967),0.061749571,3.945945946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,Crimson Tide (1995),0.262435678,3.62987013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
31,Crumb (1994),0.137221269,3.790123457,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Desperado (1995),0.164665523,3.453608247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
33,"Doom Generation, The (1995)",0.010291595,2.714285714,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
34,Free Willy 2: The Adventure Home (1995),0.017152659,2.181818182,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,Mad Love (1995),0.02058319,2.153846154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,Nadja (1994),0.012006861,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,"Net, The (1995)",0.204116638,3.008333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
38,Strange Days (1995),0.147512864,3.264367816,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0.096054889,2.894736842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Billy Madison (1995),0.061749571,3.081081081,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Clerks (1994),0.252144082,3.804054054,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Disclosure (1994),0.066895369,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
43,Dolores Claiborne (1994),0.133790738,3.341772152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
44,Eat Drink Man Woman (1994),0.135506003,4.05,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Exotica (1994),0.044596913,3.555555556,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,Ed Wood (1994),0.226415094,3.601503759,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
47,Hoop Dreams (1994),0.19897084,4.094017094,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,I.Q. (1994),0.137221269,3.320987654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
49,Star Wars (1977),1,4.359589041,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
50,Legends of the Fall (1994),0.137221269,3.456790123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
51,"Madness of King George, The (1994)",0.154373928,3.769230769,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,Natural Born Killers (1994),0.217838765,2.953125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,Outbreak (1995),0.176672384,3.240384615,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54,"Professional, The (1994)",0.253859348,3.704697987,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
55,Pulp Fiction (1994),0.674099485,4.060913706,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
56,Priest (1994),0.066895369,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,Quiz Show (1994),0.298456261,3.645714286,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,Three Colors: Red (1994),0.140651801,4.060240964,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,Three Colors: Blue (1993),0.10806175,4.015625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Three Colors: White (1994),0.09948542,3.86440678,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,Stargate (1994),0.216123499,3.141732283,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,"Santa Clause, The (1994)",0.138936535,3.097560976,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"Shawshank Redemption, The (1994)",0.483704974,4.445229682,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,What's Eating Gilbert Grape (1993),0.195540309,3.539130435,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
65,While You Were Sleeping (1995),0.276157804,3.549382716,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
66,Ace Ventura: Pet Detective (1994),0.174957118,3.048543689,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,"Crow, The (1994)",0.22813036,3.417910448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
68,Forrest Gump (1994),0.548885077,3.853582555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
69,Four Weddings and a Funeral (1994),0.428816467,3.661354582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
70,"Lion King, The (1994)",0.375643225,3.781818182,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,"Mask, The (1994)",0.219554031,3.19379845,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
72,Maverick (1994),0.217838765,3.46875,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Faster Pussycat! Kill! Kill! (1965),0.010291595,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
74,Brother Minister: The Assassination of Malcolm X (1994),0.006861063,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,Carlito's Way (1993),0.090909091,3.407407407,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
76,"Firm, The (1993)",0.25728988,3.278145695,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
77,Free Willy (1993),0.054888508,2.454545455,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,"Fugitive, The (1993)",0.574614065,4.044642857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,Hot Shots! Part Deux (1993),0.114922813,2.764705882,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
80,"Hudsucker Proxy, The (1994)",0.186963979,3.554545455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
81,Jurassic Park (1993),0.445969125,3.720306513,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,Much Ado About Nothing (1993),0.300171527,4.0625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
83,Robert A. Heinlein's The Puppet Masters (1994),0.02915952,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
84,"Ref, The (1994)",0.097770154,3.034482759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Remains of the Day, The (1993)",0.255574614,3.94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,Searching for Bobby Fischer (1993),0.234991424,3.905797101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,Sleepless in Seattle (1993),0.363636364,3.539906103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Blade Runner (1982),0.469982847,4.138181818,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
89,So I Married an Axe Murderer (1993),0.161234991,3.052631579,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
90,"Nightmare Before Christmas, The (1993)",0.243567753,3.587412587,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
91,True Romance (1993),0.176672384,3.615384615,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
92,Welcome to the Dollhouse (1995),0.190394511,3.723214286,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
93,Home Alone (1990),0.233276158,3.087591241,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Aladdin (1992),0.373927959,3.812785388,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
95,Terminator 2: Judgment Day (1991),0.504288165,4.006779661,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
96,Dances with Wolves (1990),0.437392796,3.79296875,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
97,"Silence of the Lambs, The (1991)",0.667238422,4.28974359,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
98,Snow White and the Seven Dwarfs (1937),0.293310463,3.709302326,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,Fargo (1996),0.869639794,4.155511811,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
100,Heavy Metal (1981),0.123499142,3.260273973,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
101,"Aristocats, The (1970)",0.090909091,3.12962963,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,All Dogs Go to Heaven 2 (1996),0.024013722,1.866666667,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,Theodore Rex (1995),0.006861063,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Sgt. Bilko (1996),0.125214408,2.567567568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Diabolique (1996),0.120068611,2.887323944,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
106,Moll Flanders (1996),0.070325901,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,Kids in the Hall: Brain Candy (1996),0.109777015,3.076923077,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Mystery Science Theater 3000: The Movie (1996),0.221269297,3.430769231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
109,Operation Dumbo Drop (1995),0.051457976,2.516129032,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
110,"Truth About Cats & Dogs, The (1996)",0.46483705,3.485294118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
111,Flipper (1996),0.032590051,2.45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",0.013722127,4.111111111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,Wallace & Gromit: The Best of Aardman Animation (1996),0.113207547,4.447761194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"Haunted World of Edward D. Wood Jr., The (1995)",0.024013722,3.733333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,Cold Comfort Farm (1995),0.212692967,3.824,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"Rock, The (1996)",0.646655232,3.693121693,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,Twister (1996),0.500857633,3.215017065,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,Maya Lin: A Strong Clear Vision (1994),0.005145798,4.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,Striptease (1996),0.113207547,2.23880597,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120,Independence Day (ID4) (1996),0.734133791,3.438228438,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
121,"Cable Guy, The (1996)",0.180102916,2.339622642,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"Frighteners, The (1996)",0.195540309,3.234782609,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
123,Lone Star (1996),0.319039451,4.053475936,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
124,Phenomenon (1996),0.416809605,3.557377049,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
125,"Spitfire Grill, The (1996)",0.164665523,3.804123711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,"Godfather, The (1972)",0.706689537,4.283292978,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
127,Supercop (1992),0.109777015,3.538461538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
128,Bound (1996),0.219554031,3.821705426,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
129,Kansas City (1996),0.037735849,2.260869565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,Breakfast at Tiffany's (1961),0.161234991,3.726315789,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
131,"Wizard of Oz, The (1939)",0.420240137,4.077235772,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
132,Gone with the Wind (1939),0.293310463,3.854651163,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
133,Citizen Kane (1941),0.337907376,4.292929293,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,2001: A Space Odyssey (1968),0.442538593,3.969111969,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
135,Mr. Smith Goes to Washington (1939),0.17838765,4.123809524,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,Big Night (1996),0.291595197,3.900584795,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,D3: The Mighty Ducks (1996),0.030874786,2.578947368,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,"Love Bug, The (1969)",0.084048027,2.78,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Homeward Bound: The Incredible Journey (1993),0.102915952,3.213114754,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"20,000 Leagues Under the Sea (1954)",0.121783877,3.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
141,Bedknobs and Broomsticks (1971),0.096054889,3.070175439,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,"Sound of Music, The (1965)",0.379073756,3.765765766,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,Die Hard (1988),0.41509434,3.872427984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
144,"Lawnmower Man, The (1992)",0.109777015,2.446153846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
145,Unhook the Stars (1996),0.015437393,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,"Long Kiss Goodnight, The (1996)",0.315608919,3.47027027,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,"Ghost and the Darkness, The (1996)",0.217838765,3.203125,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Jude (1996),0.037735849,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,Swingers (1996),0.267581475,3.828025478,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
150,Willy Wonka and the Chocolate Factory (1971),0.557461407,3.63190184,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Sleeper (1973),0.138936535,3.634146341,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
152,"Fish Called Wanda, A (1988)",0.421955403,3.785425101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Monty Python's Life of Brian (1979),0.296740995,3.747126437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Dirty Dancing (1987),0.166380789,3.102040816,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
155,Reservoir Dogs (1992),0.252144082,3.986486486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
156,Platoon (1986),0.216123499,3.692913386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
157,Weekend at Bernie's (1989),0.101200686,2.616666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Basic Instinct (1992),0.171526587,3.227722772,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
159,Glengarry Glen Ross (1992),0.116638079,3.463768116,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,Top Gun (1986),0.375643225,3.481818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,On Golden Pond (1981),0.180102916,3.556603774,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
162,"Return of the Pink Panther, The (1974)",0.156089194,3.554347826,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,"Abyss, The (1989)",0.25728988,3.589403974,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
164,Jean de Florette (1986),0.10806175,4.109375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,Manon of the Spring (Manon des sources) (1986),0.097770154,4.120689655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,Private Benjamin (1980),0.113207547,2.955223881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Monty Python and the Holy Grail (1974),0.540308748,4.066455696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"Wrong Trousers, The (1993)",0.200686106,4.466101695,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Cinema Paradiso (1988),0.205831904,4.173553719,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
170,Delicatessen (1991),0.109777015,3.876923077,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
171,"Empire Strikes Back, The (1980)",0.629502573,4.206521739,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
172,"Princess Bride, The (1987)",0.554030875,4.172839506,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
173,Raiders of the Lost Ark (1981),0.718696398,4.252380952,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Brazil (1985),0.355060034,3.817307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,Aliens (1986),0.48542024,3.947183099,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
176,"Good, The Bad and The Ugly, The (1966)",0.233276158,3.861313869,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,12 Angry Men (1957),0.212692967,4.344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
178,"Clockwork Orange, A (1971)",0.377358491,3.909502262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,Apocalypse Now (1979),0.377358491,4.045248869,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
180,Return of the Jedi (1983),0.867924528,4.007889546,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
181,GoodFellas (1990),0.38593482,3.951327434,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
182,Alien (1979),0.497427101,4.034364261,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
183,Army of Darkness (1993),0.197255575,3.431034483,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
184,Psycho (1960),0.408233276,4.10041841,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
185,"Blues Brothers, The (1980)",0.428816467,3.836653386,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
186,"Godfather: Part II, The (1974)",0.3567753,4.186602871,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
187,Full Metal Jacket (1987),0.289879931,3.682352941,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
188,"Grand Day Out, A (1992)",0.111492281,4.106060606,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Henry V (1989),0.210977702,4.137096774,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
190,Amadeus (1984),0.471698113,4.163043478,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
191,Raging Bull (1980),0.197255575,4.120689655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,"Right Stuff, The (1983)",0.267581475,3.917197452,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,"Sting, The (1973)",0.411663808,4.058091286,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
194,"Terminator, The (1984)",0.51457976,3.933554817,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
195,Dead Poets Society (1989),0.428816467,3.916334661,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196,"Graduate, The (1967)",0.408233276,4.10460251,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
197,Nikita (La Femme Nikita) (1990),0.216123499,4.007874016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,"Bridge on the River Kwai, The (1957)",0.281303602,4.175757576,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
199,"Shining, The (1980)",0.351629503,3.825242718,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,Evil Dead II (1987),0.150943396,3.516853933,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
201,Groundhog Day (1993),0.478559177,3.764285714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
202,Unforgiven (1992),0.310463122,3.868131868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
203,Back to the Future (1985),0.598627787,3.834285714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
204,Patton (1970),0.231560892,3.992647059,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
205,Akira (1988),0.084048027,3.38,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
206,Cyrano de Bergerac (1990),0.111492281,3.818181818,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
207,Young Frankenstein (1974),0.341337907,3.945,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
208,This Is Spinal Tap (1984),0.325900515,3.905759162,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
209,Indiana Jones and the Last Crusade (1989),0.566037736,3.930513595,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,M*A*S*H (1970),0.351629503,3.912621359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
211,"Unbearable Lightness of Being, The (1988)",0.156089194,3.456521739,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
212,"Room with a View, A (1986)",0.22813036,3.985074627,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
